>>> %Run -c $EDITOR_CONTENT

MPY: soft reboot
Boot OK
WiFi connecting...
✅ WiFi IP: 192.168.1.153
connectat cu succes 192.168.1.153
💾 LOADED config.json: R | offset=-26.5°C
🔥 MAX31856 PRO - R | Offset -26.5°C
✅ READY | config.json OK pentru WebUI
✅ Sensor R-type: {'offset': -26.5, 'raw': 405.5, 'temp': 379.0, 'config': {'offset': -26.5, 'type_name': 'R', 'status': 'saved', 'type_code': 5}, 'cj': 27.8, 'delta': 351.2, 'type': 'R', 'type_code': 5}
🔗 Accesează WebUI la: http://192.168.1.153
✅ v12: FIX1+2+3+4+5 - HOLD LOOP FIXED + USER SELECT!
══════════════════════════════════════════════════════════════════════════════════════════
🔍 Tcurentă=379.1°C

📋 ALEGE SEGMENTUL DE START (1-13):
ENTER S# (ex: 3, 4, 5): 6

✅ START S6: 328→750°C
   Ramp: 2.5°C/min | Hold: 0min


MIN | S# | Tcur  | Ttgt | ERR  | RATE | ON(s)| DUTY%| SSR | MODE  | BOOST | SEG_TIME
25m | S 6 | 425.0 | 434.1 | +9.1 |  2.70 |  3.3 |  33.5% |  ON | ramp  | +4.4% |  22.0m
25m | S 6 | 425.3 | 434.6 | +9.3 |  2.49 |  3.4 |  33.9% |  ON | ramp  | +4.4% |  22.2m
25m | S 6 | 425.8 | 435.0 | +9.2 |  2.34 |  3.4 |  34.2% |  ON | ramp  | +4.4% |  22.4m
25m | S 6 | 426.2 | 435.4 | +9.2 |  2.49 |  3.4 |  33.9% |  ON | ramp  | +4.4% |  22.5m
25m | S 6 | 426.6 | 435.8 | +9.2 |  2.34 |  3.4 |  34.2% |  ON | ramp  | +4.4% |  22.7m
26m | S 6 | 427.1 | 436.2 | +9.1 |  2.70 |  3.3 |  33.5% |  ON | ramp  | +4.4% |  22.8m
26m | S 6 | 427.5 | 436.6 | +9.1 |  2.55 |  3.4 |  33.8% |  ON | ramp  | +4.4% |  23.0m
26m | S 6 | 427.9 | 437.1 | +9.2 |  2.55 |  3.4 |  33.8% |  ON | ramp  | +4.4% |  23.2m
26m | S 6 | 428.3 | 437.5 | +9.2 |  2.55 |  3.4 |  33.8% |  ON | ramp  | +4.4% |  23.4m
26m | S 6 | 428.7 | 437.9 | +9.2 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  23.5m
26m | S 6 | 429.1 | 438.3 | +9.2 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  23.7m
27m | S 6 | 429.6 | 438.7 | +9.1 |  2.55 |  3.4 |  33.8% |  ON | ramp  | +4.4% |  23.8m
27m | S 6 | 430.0 | 439.1 | +9.1 |  2.55 |  3.4 |  33.8% |  ON | ramp  | +4.4% |  24.0m
27m | S 6 | 430.5 | 439.6 | +9.1 |  2.70 |  3.3 |  33.5% |  ON | ramp  | +4.4% |  24.2m
27m | S 6 | 430.9 | 440.0 | +9.1 |  2.70 |  3.3 |  33.5% |  ON | ramp  | +4.4% |  24.4m
27m | S 6 | 431.2 | 440.4 | +9.2 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  24.5m
27m | S 6 | 431.6 | 440.8 | +9.2 |  2.34 |  3.4 |  34.2% |  ON | ramp  | +4.4% |  24.7m
28m | S 6 | 432.1 | 441.3 | +9.2 |  2.34 |  3.4 |  34.2% |  ON | ramp  | +4.4% |  24.9m
28m | S 6 | 432.5 | 441.7 | +9.2 |  2.34 |  3.4 |  34.2% |  ON | ramp  | +4.4% |  25.0m
28m | S 6 | 433.0 | 442.1 | +9.1 |  2.63 |  3.4 |  33.6% |  ON | ramp  | +4.4% |  25.2m
28m | S 6 | 433.2 | 442.5 | +9.3 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  25.4m
28m | S 6 | 433.8 | 442.9 | +9.1 |  2.55 |  3.4 |  33.8% |  ON | ramp  | +4.4% |  25.5m
28m | S 6 | 434.2 | 443.4 | +9.1 |  2.55 |  3.4 |  33.8% |  ON | ramp  | +4.4% |  25.7m
29m | S 6 | 434.6 | 443.8 | +9.2 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  25.9m
29m | S 6 | 434.9 | 444.2 | +9.3 |  2.55 |  3.4 |  33.8% |  ON | ramp  | +4.4% |  26.0m
29m | S 6 | 435.4 | 444.6 | +9.2 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  26.2m
