>>> %Run -c $EDITOR_CONTENT

MPY: soft reboot
Boot OK
WiFi connecting...
✅ WiFi IP: 192.168.1.153
connectat cu succes 192.168.1.153
💾 LOADED config.json: R | offset=-26.5°C
🔥 MAX31856 PRO - R | Offset -26.5°C
✅ READY | config.json OK pentru WebUI
✅ Sensor R-type: {'offset': -26.5, 'raw': 405.5, 'temp': 379.0, 'config': {'offset': -26.5, 'type_name': 'R', 'status': 'saved', 'type_code': 5}, 'cj': 27.8, 'delta': 351.2, 'type': 'R', 'type_code': 5}
🔗 Accesează WebUI la: http://192.168.1.153
✅ v12: FIX1+2+3+4+5 - HOLD LOOP FIXED + USER SELECT!
══════════════════════════════════════════════════════════════════════════════════════════
🔍 Tcurentă=379.1°C

📋 ALEGE SEGMENTUL DE START (1-13):
ENTER S# (ex: 3, 4, 5): 6

✅ START S6: 328→750°C
   Ramp: 2.5°C/min | Hold: 0min


MIN | S# | Tcur  | Ttgt | ERR  | RATE | ON(s)| DUTY%| SSR | MODE  | BOOST | SEG_TIME
 4m | S 8 | 689.4 | 689.0 | -0.4 |  2.25 |  5.8 |  58.4% |  ON | ramp  | +8.4% |   3.7m
 4m | S 8 | 689.8 | 689.4 | -0.4 |  2.25 |  5.8 |  58.4% |  ON | ramp  | +8.4% |   3.9m
 4m | S 8 | 690.2 | 689.8 | -0.4 |  2.40 |  5.8 |  58.1% |  ON | ramp  | +8.4% |   4.0m
 4m | S 8 | 690.7 | 690.2 | -0.5 |  2.40 |  5.8 |  58.1% |  ON | ramp  | +8.4% |   4.2m
 5m | S 8 | 691.1 | 690.7 | -0.4 |  2.55 |  5.8 |  57.8% |  ON | ramp  | +8.4% |   4.4m
 5m | S 8 | 691.5 | 691.1 | -0.4 |  2.55 |  5.8 |  57.8% |  ON | ramp  | +8.4% |   4.6m
 5m | S 8 | 692.0 | 691.5 | -0.5 |  2.70 |  5.8 |  57.5% |  ON | ramp  | +8.4% |   4.7m
 5m | S 8 | 692.4 | 691.9 | -0.5 |  2.55 |  5.8 |  57.8% |  ON | ramp  | +8.4% |   4.9m
 5m | S 8 | 692.9 | 692.3 | -0.6 |  2.70 |  5.8 |  57.5% |  ON | ramp  | +8.4% |   5.0m
 5m | S 8 | 693.3 | 692.7 | -0.6 |  2.70 |  5.8 |  57.5% |  ON | ramp  | +8.4% |   5.2m
 6m | S 8 | 693.7 | 693.2 | -0.5 |  2.55 |  5.8 |  57.8% |  ON | ramp  | +8.4% |   5.4m
 6m | S 8 | 694.1 | 693.6 | -0.5 |  2.55 |  5.8 |  57.8% |  ON | ramp  | +8.4% |   5.6m
 6m | S 8 | 694.7 | 694.0 | -0.7 |  2.70 |  5.8 |  57.5% |  ON | ramp  | +8.4% |   5.7m
 6m | S 8 | 695.1 | 694.4 | -0.7 |  2.70 |  5.8 |  57.5% |  ON | ramp  | +8.4% |   5.9m
 6m | S 8 | 695.7 | 694.8 | -0.9 |  3.00 |  5.7 |  56.9% |  ON | ramp  | +8.4% |   6.0m
 6m | S 8 | 696.1 | 695.2 | -0.9 |  3.00 |  5.7 |  56.9% |  ON | ramp  | +8.4% |   6.2m
 7m | S 8 | 696.5 | 695.7 | -0.8 |  2.70 |  5.8 |  57.5% |  ON | ramp  | +8.4% |   6.4m
 7m | S 8 | 697.1 | 696.1 | -1.0 |  3.00 |  5.7 |  56.9% |  ON | ramp  | +8.4% |   6.6m
 7m | S 8 | 697.6 | 696.5 | -1.1 |  2.85 |  5.7 |  57.2% |  ON | ramp  | +8.4% |   6.7m
 7m | S 8 | 698.1 | 696.9 | -1.2 |  3.00 |  5.7 |  56.9% |  ON | ramp  | +8.4% |   6.9m
 7m | S 8 | 698.6 | 697.3 | -1.3 |  3.15 |  5.7 |  56.6% |  ON | ramp  | +8.4% |   7.0m
 7m | S 8 | 699.0 | 697.7 | -1.3 |  2.85 |  5.7 |  57.2% |  ON | ramp  | +8.4% |   7.2m
 8m | S 8 | 699.6 | 698.2 | -1.4 |  2.93 |  5.7 |  57.0% |  ON | ramp  | +8.4% |   7.4m
 8m | S 8 | 700.1 | 698.6 | -1.5 |  2.93 |  5.7 |  57.0% |  ON | ramp  | +8.4% |   7.6m
 8m | S 8 | 700.5 | 699.0 | -1.5 |  2.78 |  5.7 |  57.3% |  ON | ramp  | +8.4% |   7.7m
 8m | S 8 | 701.1 | 699.4 | -1.6 |  3.07 |  5.7 |  56.8% |  ON | ramp  | +8.4% |   7.9m
 8m | S 8 | 701.5 | 699.9 | -1.6 |  2.85 |  5.7 |  57.2% |  ON | ramp  | +8.4% |   8.1m
 9m | S 8 | 702.1 | 700.3 | -1.8 |  3.00 |  5.7 |  56.9% |  ON | ramp  | +8.4% |   8.2m
 9m | S 8 | 702.6 | 700.7 | -1.9 |  3.07 |  5.7 |  56.8% |  ON | ramp  | +8.4% |   8.4m
 9m | S 8 | 703.1 | 701.2 | -1.9 |  2.93 |  5.7 |  57.0% |  ON | ramp  | +8.4% |   8.6m
 9m | S 8 | 703.7 | 701.6 | -2.1 |  3.22 |  5.7 |  56.5% |  ON | ramp  | +8.4% |   8.8m
 9m | S 8 | 704.1 | 702.0 | -2.1 |  2.93 |  5.7 |  57.0% |  ON | ramp  | +8.4% |   8.9m
 9m | S 8 | 704.7 | 702.4 | -2.3 |  3.15 |  5.7 |  56.6% |  ON | ramp  | +8.4% |   9.1m
10m | S 8 | 705.2 | 702.8 | -2.4 |  3.15 |  5.7 |  56.6% |  ON | ramp  | +8.4% |   9.2m
10m | S 8 | 705.7 | 703.3 | -2.4 |  2.93 |  5.7 |  57.0% |  ON | ramp  | +8.4% |   9.4m
10m | S 8 | 706.1 | 703.7 | -2.4 |  2.93 |  5.7 |  57.0% |  ON | ramp  | +8.4% |   9.6m
10m | S 8 | 706.7 | 704.1 | -2.6 |  2.93 |  5.7 |  57.0% |  ON | ramp  | +8.4% |   9.8m
10m | S 8 | 707.1 | 704.5 | -2.6 |  2.78 |  5.7 |  57.3% |  ON | ramp  | +8.4% |   9.9m
10m | S 8 | 707.6 | 705.0 | -2.6 |  2.85 |  5.7 |  57.2% |  ON | ramp  | +8.4% |  10.1m
11m | S 8 | 708.1 | 705.4 | -2.7 |  3.00 |  5.7 |  56.9% |  ON | ramp  | +8.4% |  10.3m
11m | S 8 | 708.5 | 705.8 | -2.7 |  2.70 |  5.8 |  57.5% |  ON | ramp  | +8.4% |  10.4m
11m | S 8 | 709.1 | 706.2 | -2.9 |  3.00 |  5.7 |  56.9% |  ON | ramp  | +8.4% |  10.6m
11m | S 8 | 709.6 | 706.6 | -3.0 |  3.00 |  5.7 |  56.9% |  ON | ramp  | +8.4% |  10.8m
11m | S 8 | 710.1 | 707.0 | -3.1 |  3.00 |  5.7 |  56.9% |  ON | ramp  | +8.4% |  10.9m
11m | S 8 | 710.6 | 707.4 | -3.1 |  3.15 |  5.7 |  56.6% |  ON | ramp  | +8.4% |  11.1m
12m | S 8 | 711.0 | 707.9 | -3.1 |  2.85 |  5.7 |  57.2% |  ON | ramp  | +8.4% |  11.3m
12m | S 8 | 711.5 | 708.3 | -3.2 |  2.85 |  5.7 |  57.2% |  ON | ramp  | +8.4% |  11.4m
12m | S 8 | 712.0 | 708.7 | -3.3 |  2.78 |  5.7 |  57.3% |  ON | ramp  | +8.4% |  11.6m
12m | S 8 | 712.5 | 709.2 | -3.3 |  2.78 |  5.7 |  57.3% |  ON | ramp  | +8.4% |  11.8m
12m | S 8 | 713.0 | 709.6 | -3.4 |  2.93 |  5.7 |  57.0% |  ON | ramp  | +8.4% |  12.0m
12m | S 8 | 713.5 | 710.0 | -3.5 |  2.93 |  5.7 |  57.0% |  ON | ramp  | +8.4% |  12.1m
13m | S 8 | 714.0 | 710.4 | -3.6 |  3.00 |  5.7 |  56.9% |  ON | ramp  | +8.4% |  12.3m
13m | S 8 | 714.4 | 710.8 | -3.6 |  2.85 |  5.7 |  57.2% |  ON | ramp  | +8.4% |  12.4m
13m | S 8 | 715.0 | 711.2 | -3.8 |  3.00 |  5.7 |  56.9% |  ON | ramp  | +8.4% |  12.6m
13m | S 8 | 715.5 | 711.7 | -3.8 |  3.00 |  5.7 |  56.9% |  ON | ramp  | +8.4% |  12.8m
13m | S 8 | 715.9 | 712.1 | -3.8 |  2.85 |  5.7 |  57.2% |  ON | ramp  | +8.4% |  13.0m
13m | S 8 | 716.4 | 712.5 | -3.9 |  3.00 |  5.7 |  56.9% |  ON | ramp  | +8.4% |  13.1m
14m | S 8 | 716.8 | 712.9 | -3.9 |  2.70 |  5.8 |  57.5% |  ON | ramp  | +8.4% |  13.3m
14m | S 8 | 717.4 | 713.3 | -4.1 |  2.85 |  5.7 |  57.2% |  ON | ramp  | +8.4% |  13.4m
14m | S 8 | 717.9 | 713.7 | -4.2 |  3.00 |  5.7 |  56.9% |  ON | ramp  | +8.4% |  13.6m
14m | S 8 | 718.2 | 714.2 | -4.0 |  2.70 |  5.8 |  57.5% |  ON | ramp  | +8.4% |  13.8m
14m | S 8 | 718.7 | 714.6 | -4.1 |  2.85 |  5.7 |  57.2% |  ON | ramp  | +8.4% |  14.0m
14m | S 8 | 719.3 | 715.0 | -4.3 |  2.85 |  5.7 |  57.2% |  ON | ramp  | +8.4% |  14.1m
15m | S 8 | 719.7 | 715.4 | -4.3 |  2.70 |  5.8 |  57.5% |  ON | ramp  | +8.4% |  14.3m
15m | S 8 | 720.2 | 715.8 | -4.4 |  3.00 |  5.7 |  56.9% |  ON | ramp  | +8.4% |  14.4m
15m | S 8 | 720.6 | 716.2 | -4.4 |  2.85 |  5.7 |  57.2% |  ON | ramp  | +8.4% |  14.6m
15m | S 8 | 721.2 | 716.7 | -4.5 |  2.85 |  5.7 |  57.2% |  ON | ramp  | +8.4% |  14.8m
15m | S 8 | 721.6 | 717.1 | -4.5 |  2.78 |  5.7 |  57.3% |  ON | ramp  | +8.4% |  15.0m
15m | S 8 | 722.0 | 717.5 | -4.5 |  2.63 |  5.8 |  57.6% |  ON | ramp  | +8.4% |  15.1m
16m | S 8 | 722.5 | 718.0 | -4.5 |  2.78 |  5.7 |  57.3% |  ON | ramp  | +8.4% |  15.3m
16m | S 8 | 723.0 | 718.4 | -4.6 |  2.63 |  5.8 |  57.6% |  ON | ramp  | +8.4% |  15.5m
16m | S 8 | 723.5 | 718.8 | -4.7 |  2.85 |  5.7 |  57.2% |  ON | ramp  | +8.4% |  15.6m
16m | S 8 | 723.9 | 719.2 | -4.7 |  2.85 |  5.7 |  57.2% |  ON | ramp  | +8.4% |  15.8m
16m | S 8 | 724.5 | 719.7 | -4.8 |  2.93 |  5.7 |  57.0% |  ON | ramp  | +8.4% |  16.0m
16m | S 8 | 725.0 | 720.1 | -4.9 |  2.93 |  5.7 |  57.0% |  ON | ramp  | +8.4% |  16.2m
17m | S 8 | 725.4 | 720.5 | -4.9 |  2.78 |  5.7 |  57.3% |  ON | ramp  | +8.4% |  16.3m
17m | S 8 | 725.9 | 720.9 | -5.0 |  2.93 |  5.7 |  57.0% |  ON | ramp  | +8.4% |  16.5m
17m | S 8 | 726.3 | 721.3 | -5.0 |  2.70 |  5.8 |  57.5% |  ON | ramp  | +8.4% |  16.6m
17m | S 8 | 726.8 | 721.8 | -5.0 |  2.63 |  5.8 |  57.6% |  ON | ramp  | +8.4% |  16.8m
17m | S 8 | 727.2 | 722.2 | -5.0 |  2.63 |  5.8 |  57.6% |  ON | ramp  | +8.4% |  17.0m
17m | S 8 | 727.7 | 722.6 | -5.1 |  2.63 |  5.8 |  57.6% |  ON | ramp  | +8.4% |  17.2m
18m | S 8 | 728.2 | 723.0 | -5.2 |  2.78 |  5.7 |  57.3% |  ON | ramp  | +8.4% |  17.3m
18m | S 8 | 728.6 | 723.4 | -5.1 |  2.70 |  5.8 |  57.5% |  ON | ramp  | +8.4% |  17.5m
18m | S 8 | 729.1 | 723.9 | -5.2 |  2.85 |  5.7 |  57.2% |  ON | ramp  | +8.4% |  17.7m
18m | S 8 | 729.5 | 724.3 | -5.2 |  2.70 |  5.8 |  57.5% |  ON | ramp  | +8.4% |  17.8m
18m | S 8 | 730.0 | 724.7 | -5.3 |  2.70 |  5.8 |  57.5% |  ON | ramp  | +8.4% |  18.0m
18m | S 8 | 730.4 | 725.1 | -5.3 |  2.70 |  5.8 |  57.5% |  ON | ramp  | +8.4% |  18.2m
19m | S 8 | 730.9 | 725.5 | -5.4 |  2.70 |  5.8 |  57.5% |  ON | ramp  | +8.4% |  18.3m
19m | S 8 | 731.3 | 726.0 | -5.3 |  2.70 |  5.8 |  57.5% |  ON | ramp  | +8.4% |  18.5m
19m | S 8 | 731.8 | 726.4 | -5.4 |  2.70 |  5.8 |  57.5% |  ON | ramp  | +8.4% |  18.7m
19m | S 8 | 732.2 | 726.8 | -5.4 |  2.70 |  5.8 |  57.5% |  ON | ramp  | +8.4% |  18.8m
19m | S 8 | 732.7 | 727.2 | -5.5 |  2.70 |  5.8 |  57.5% |  ON | ramp  | +8.4% |  19.0m
19m | S 8 | 733.1 | 727.6 | -5.5 |  2.70 |  5.8 |  57.5% |  ON | ramp  | +8.4% |  19.2m
20m | S 8 | 733.7 | 728.0 | -5.7 |  2.85 |  5.7 |  57.2% |  ON | ramp  | +8.4% |  19.3m
20m | S 8 | 734.1 | 728.4 | -5.6 |  2.85 |  5.7 |  57.2% |  ON | ramp  | +8.4% |  19.5m
20m | S 8 | 734.5 | 728.9 | -5.6 |  2.70 |  5.8 |  57.5% |  ON | ramp  | +8.4% |  19.7m
20m | S 8 | 735.0 | 729.3 | -5.7 |  2.85 |  5.7 |  57.2% |  ON | ramp  | +8.4% |  19.8m
20m | S 8 | 735.3 | 729.7 | -5.6 |  2.40 |  5.8 |  58.1% |  ON | ramp  | +8.4% |  20.0m
20m | S 8 | 735.8 | 730.1 | -5.7 |  2.55 |  5.8 |  57.8% |  ON | ramp  | +8.4% |  20.2m
21m | S 8 | 736.4 | 730.5 | -5.9 |  2.85 |  5.7 |  57.2% |  ON | ramp  | +8.4% |  20.3m
21m | S 8 | 736.8 | 731.0 | -5.8 |  2.70 |  5.8 |  57.5% |  ON | ramp  | +8.4% |  20.5m
21m | S 8 | 737.3 | 731.4 | -5.9 |  3.00 |  5.7 |  56.9% |  ON | ramp  | +8.4% |  20.7m
21m | S 8 | 737.7 | 731.8 | -5.9 |  2.85 |  5.7 |  57.2% |  ON | ramp  | +8.4% |  20.8m
21m | S 8 | 738.2 | 732.2 | -6.0 |  2.70 |  5.8 |  57.5% |  ON | ramp  | +8.4% |  21.0m
21m | S 8 | 738.6 | 732.6 | -6.0 |  2.70 |  5.8 |  57.5% |  ON | ramp  | +8.4% |  21.2m
22m | S 8 | 739.1 | 733.0 | -6.1 |  2.70 |  5.8 |  57.5% |  ON | ramp  | +8.4% |  21.3m
22m | S 8 | 739.5 | 733.4 | -6.0 |  2.70 |  5.8 |  57.5% |  ON | ramp  | +8.4% |  21.5m
22m | S 8 | 739.9 | 733.9 | -6.0 |  2.55 |  5.8 |  57.8% |  ON | ramp  | +8.4% |  21.7m
22m | S 8 | 740.4 | 734.3 | -6.1 |  2.70 |  5.8 |  57.5% |  ON | ramp  | +8.4% |  21.8m
22m | S 8 | 740.8 | 734.7 | -6.1 |  2.55 |  5.8 |  57.8% |  ON | ramp  | +8.4% |  22.0m
22m | S 8 | 741.3 | 735.2 | -6.1 |  2.63 |  5.8 |  57.6% |  ON | ramp  | +8.4% |  22.2m
23m | S 8 | 741.7 | 735.6 | -6.1 |  2.63 |  5.8 |  57.6% |  ON | ramp  | +8.4% |  22.4m
23m | S 8 | 742.1 | 736.0 | -6.1 |  2.49 |  5.8 |  57.9% |  ON | ramp  | +8.4% |  22.5m
23m | S 8 | 742.6 | 736.4 | -6.2 |  2.63 |  5.8 |  57.6% |  ON | ramp  | +8.4% |  22.7m
23m | S 8 | 743.0 | 736.8 | -6.2 |  2.55 |  5.8 |  57.8% |  ON | ramp  | +8.4% |  22.8m
23m | S 8 | 743.3 | 737.2 | -6.1 |  2.40 |  5.8 |  58.1% |  ON | ramp  | +8.4% |  23.0m
23m | S 8 | 743.7 | 737.7 | -6.0 |  2.40 |  5.8 |  58.1% |  ON | ramp  | +8.4% |  23.2m
24m | S 8 | 744.0 | 738.1 | -5.9 |  2.10 |  5.9 |  58.7% |  ON | ramp  | +8.4% |  23.4m
24m | S 8 | 744.5 | 738.5 | -6.0 |  2.20 |  5.8 |  58.5% |  ON | ramp  | +8.4% |  23.5m
24m | S 8 | 745.0 | 739.0 | -6.0 |  2.49 |  5.8 |  57.9% |  ON | ramp  | +8.4% |  23.7m
24m | S 8 | 745.4 | 739.4 | -6.0 |  2.49 |  5.8 |  57.9% |  ON | ramp  | +8.4% |  23.9m
24m | S 8 | 745.8 | 739.8 | -6.0 |  2.63 |  5.8 |  57.6% |  ON | ramp  | +8.4% |  24.0m
24m | S 8 | 746.2 | 740.2 | -6.0 |  2.49 |  5.8 |  57.9% |  ON | ramp  | +8.4% |  24.2m
25m | S 8 | 746.5 | 740.7 | -5.8 |  2.20 |  5.8 |  58.5% |  ON | ramp  | +8.4% |  24.4m
25m | S 8 | 746.9 | 741.1 | -5.8 |  2.20 |  5.8 |  58.5% |  ON | ramp  | +8.4% |  24.6m

✅ RAMP OK S8: 747.2°C

➤ NEXT S9: 750→750°C
25m | S 8 | 747.2 | 741.5 | -5.7 |  2.05 |  5.9 |  58.8% |  ON | ramp  | +8.4% |  24.7m

🔥 HOLD S9: 747.6°C x240min
25m | S 9 | 747.6 | 750.0 | +2.4 |  2.10 |  1.3 |  13.0% |  ON | hold  | +8.0% |   0.2m
25m | S 9 | 747.8 | 750.0 | +2.2 |  1.95 |  1.3 |  12.9% |  ON | hold  | +8.0% |   0.2m
25m | S 9 | 748.1 | 750.0 | +1.9 |  1.80 |  1.3 |  12.8% |  ON | hold  | +8.0% |   0.3m
26m | S 9 | 748.4 | 750.0 | +1.6 |  1.80 |  1.3 |  12.6% |  ON | hold  | +8.0% |   0.5m
26m | S 9 | 748.7 | 750.0 | +1.3 |  1.65 |  1.3 |  12.5% |  ON | hold  | +8.0% |   0.7m
26m | S 9 | 749.0 | 750.0 | +1.0 |  1.80 |  1.2 |  12.4% |  ON | hold  | +8.0% |   0.8m
26m | S 9 | 749.2 | 750.0 | +0.8 |  1.65 |  1.2 |  12.3% |  ON | hold  | +8.0% |   1.0m
26m | S 9 | 749.4 | 750.0 | +0.6 |  1.50 |  1.2 |  12.2% |  ON | hold  | +8.0% |   1.2m
26m | S 9 | 749.6 | 750.0 | +0.4 |  1.35 |  1.2 |  12.2% |  ON | hold  | +8.0% |   1.3m
27m | S 9 | 749.7 | 750.0 | +0.3 |  1.05 |  1.2 |  12.1% |  ON | hold  | +8.0% |   1.5m
27m | S 9 | 749.9 | 750.0 | +0.1 |  1.02 |  1.2 |  12.0% |  ON | hold  | +8.0% |   1.7m
27m | S 9 | 750.2 | 750.0 | -0.2 |  1.17 |  0.0 |   0.0% | OFF | hold  | +8.0% |   1.8m
27m | S 9 | 750.4 | 750.0 | -0.4 |  1.17 |  0.0 |   0.0% | OFF | hold  | +8.0% |   2.0m
27m | S 9 | 750.6 | 750.0 | -0.6 |  1.32 |  0.0 |   0.0% | OFF | hold  | +8.0% |   2.2m
27m | S 9 | 750.7 | 750.0 | -0.7 |  1.20 |  0.0 |   0.0% | OFF | hold  | +8.0% |   2.4m
28m | S 9 | 750.9 | 750.0 | -0.9 |  1.05 |  0.0 |   0.0% | OFF | hold  | +8.0% |   2.5m
28m | S 9 | 751.0 | 750.0 | -1.0 |  0.90 |  0.0 |   0.0% | OFF | hold  | +8.0% |   2.7m
28m | S 9 | 751.2 | 750.0 | -1.2 |  0.90 |  0.0 |   0.0% | OFF | hold  | +8.0% |   2.8m
28m | S 9 | 751.3 | 750.0 | -1.3 |  0.90 |  0.0 |   0.0% | OFF | hold  | +8.0% |   3.0m
28m | S 9 | 751.3 | 750.0 | -1.3 |  0.60 |  0.0 |   0.0% | OFF | hold  | +8.0% |   3.2m
28m | S 9 | 751.3 | 750.0 | -1.3 |  0.45 |  0.0 |   0.0% | OFF | hold  | +8.0% |   3.4m
29m | S 9 | 751.2 | 750.0 | -1.2 |  0.00 |  0.0 |   0.0% | OFF | hold  | +8.0% |   3.5m
29m | S 9 | 751.3 | 750.0 | -1.3 |  0.00 |  0.0 |   0.0% | OFF | hold  | +8.0% |   3.7m
29m | S 9 | 751.2 | 750.0 | -1.2 | -0.15 |  0.0 |   0.0% | OFF | hold  | +8.0% |   3.8m
29m | S 9 | 751.0 | 750.0 | -1.0 | -0.45 |  0.0 |   0.0% | OFF | hold  | +8.0% |   4.0m
29m | S 9 | 750.9 | 750.0 | -0.9 | -0.45 |  0.0 |   0.0% | OFF | hold  | +8.0% |   4.2m
29m | S 9 | 750.8 | 750.0 | -0.8 | -0.75 |  0.0 |   0.0% | OFF | hold  | +8.0% |   4.4m
30m | S 9 | 750.6 | 750.0 | -0.6 | -0.90 |  0.0 |   0.0% | OFF | hold  | +8.0% |   4.5m
30m | S 9 | 750.4 | 750.0 | -0.4 | -0.90 |  0.0 |   0.0% | OFF | hold  | +8.0% |   4.7m
30m | S 9 | 750.1 | 750.0 | -0.1 | -1.20 |  0.0 |   0.0% | OFF | hold  | +8.0% |   4.8m
30m | S 9 | 749.8 | 750.0 | +0.2 | -1.46 |  1.2 |  12.1% |  ON | hold  | +8.0% |   5.0m
30m | S 9 | 749.6 | 750.0 | +0.4 | -1.46 |  1.2 |  12.2% |  ON | hold  | +8.0% |   5.2m
31m | S 9 | 749.2 | 750.0 | +0.8 | -1.76 |  1.2 |  12.3% |  ON | hold  | +8.0% |   5.4m
31m | S 9 | 748.9 | 750.0 | +1.1 | -1.76 |  1.2 |  12.4% |  ON | hold  | +8.0% |   5.5m
31m | S 9 | 748.6 | 750.0 | +1.4 | -1.80 |  1.3 |  12.6% |  ON | hold  | +8.0% |   5.7m
31m | S 9 | 748.2 | 750.0 | +1.8 | -2.10 |  1.3 |  12.7% |  ON | hold  | +8.0% |   5.9m
31m | S 9 | 747.8 | 750.0 | +2.2 | -2.10 |  1.3 |  12.9% |  ON | hold  | +8.0% |   6.0m
31m | S 9 | 747.4 | 750.0 | +2.6 | -2.20 |  1.3 |  13.0% |  ON | hold  | +8.0% |   6.2m
32m | S 9 | 747.0 | 750.0 | +3.0 | -2.34 |  1.3 |  13.2% |  ON | hold  | +8.0% |   6.4m
32m | S 9 | 746.6 | 750.0 | +3.4 | -2.34 |  1.3 |  13.4% |  ON | hold  | +8.0% |   6.6m
32m | S 9 | 746.2 | 750.0 | +3.8 | -2.29 |  1.4 |  13.5% |  ON | hold  | +8.0% |   6.7m
32m | S 9 | 745.8 | 750.0 | +4.2 | -2.34 |  1.4 |  13.7% |  ON | hold  | +8.0% |   6.9m
32m | S 9 | 745.4 | 750.0 | +4.6 | -2.34 |  1.4 |  13.8% |  ON | hold  | +8.0% |   7.1m
32m | S 9 | 744.9 | 750.0 | +5.1 | -2.49 |  1.4 |  14.0% |  ON | hold  | +8.0% |   7.2m
33m | S 9 | 744.5 | 750.0 | +5.5 | -2.55 |  1.4 |  14.2% |  ON | hold  | +8.0% |   7.4m
33m | S 9 | 744.1 | 750.0 | +5.9 | -2.55 |  1.4 |  14.4% |  ON | hold  | +8.0% |   7.6m
33m | S 9 | 743.7 | 750.0 | +6.3 | -2.55 |  1.5 |  14.5% |  ON | hold  | +8.0% |   7.7m
33m | S 9 | 743.2 | 750.0 | +6.8 | -2.55 |  1.5 |  14.7% |  ON | hold  | +8.0% |   7.9m
33m | S 9 | 742.8 | 750.0 | +7.2 | -2.55 |  1.5 |  14.9% |  ON | hold  | +8.0% |   8.1m
33m | S 9 | 742.4 | 750.0 | +7.6 | -2.55 |  1.5 |  15.0% |  ON | hold  | +8.0% |   8.2m
34m | S 9 | 741.9 | 750.0 | +8.1 | -2.70 |  1.5 |  15.2% |  ON | hold  | +8.0% |   8.4m
34m | S 9 | 741.6 | 750.0 | +8.4 | -2.40 |  1.5 |  15.4% |  ON | hold  | +8.0% |   8.6m
34m | S 9 | 741.3 | 750.0 | +8.7 | -2.25 |  1.5 |  15.5% |  ON | hold  | +8.0% |   8.7m
34m | S 9 | 740.7 | 750.0 | +9.3 | -2.55 |  1.6 |  15.7% |  ON | hold  | +8.0% |   8.9m
34m | S 9 | 740.3 | 750.0 | +9.7 | -2.40 |  1.6 |  15.9% |  ON | hold  | +8.0% |   9.1m
34m | S 9 | 739.8 | 750.0 | +10.2 | -2.70 |  1.6 |  16.1% |  ON | hold  | +8.0% |   9.2m
35m | S 9 | 739.5 | 750.0 | +10.5 | -2.70 |  1.6 |  16.2% |  ON | hold  | +8.0% |   9.4m
35m | S 9 | 739.0 | 750.0 | +11.0 | -2.55 |  1.6 |  16.4% |  ON | hold  | +8.0% |   9.6m
35m | S 9 | 738.5 | 750.0 | +11.5 | -2.70 |  1.7 |  16.6% |  ON | hold  | +8.0% |   9.7m
35m | S 9 | 738.2 | 750.0 | +11.8 | -2.40 |  1.7 |  16.7% |  ON | hold  | +8.0% |   9.9m


